web_scraper_order,web_scraper_start_url,rent_raw,area_raw,rooms_raw,address_raw
"1764188450-77","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true?pn=2","CHF 2,770.– / month","105m²","4.5","Gaswerkstrasse 9, 5610 Wohlen"
"1764188450-78","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true?pn=2","CHF 3,530.– / month","157m²","3.5","Am Mühlebach 6, 8964 Rudolfstetten-Friedlisberg"
"1764188450-79","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true?pn=2","CHF 3,140.– / month","126m²","3.5","Am Mühlebach 6, 8964 Rudolfstetten-Friedlisberg"
"1764188450-80","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true?pn=2","CHF 3,525.– / month","120m²","4.5","Tobelwiesstrasse 29, 8309 Nürensdorf"
"1764188452-81","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true?pn=1","CHF 8,950.– / month","180m²","5","Höhestrasse 78, 8702 Zollikon"
"1764188452-82","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true?pn=1","Price on request","170m²","4.5","Dolderstrasse 87a, 8032 Zürich"
"1764188452-83","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true?pn=1","CHF 4,270.– / month","77m²","2.5","Spiserstrasse 10, 8047 Zürich"
"1764188452-84","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true?pn=1","CHF 2,990.– / month","58m²","2.5","Thurgauerstrasse 107, 8152 Opfikon"
"1764188452-85","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true?pn=1","CHF 6,690.– / month","187m²","5.5","Spiegelhofstrasse 62, 8032 Zürich"
"1764188452-86","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true?pn=1","CHF 7,250.– / month","222m²","5.5","Haldenweg 6, 8180 Bülach"
"1764188452-87","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true?pn=1","CHF 6,205.– / month","152m²","4.5","Hagenholzstr. 55, 8050 Zürich"
"1764188452-88","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true?pn=1","CHF 5,500.– / month","144m²","5","Glärnischstrasse 111, 8708 Männedorf"
"1764188452-89","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true?pn=1","CHF 3,600.– / month","131m²","4.5","Pfarrgasse 6 OG, 8311 Brütten"
"1764188452-90","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true?pn=1","CHF 7,850.– / month","132m²","4.5","Hagenholzstr. 55, 8050 Zürich"
"1764188452-91","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true?pn=1","CHF 3,650.– / month","110m²","4.5","Trichtenhausenstrasse 130, 8053 Zürich"
"1764188452-92","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true?pn=1","CHF 2,460.– / month","79m²","2.5","Giessenplatz 8, 8600 Dübendorf"
"1764188452-93","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true?pn=1","CHF 2,990.– / month","58m²","2.5","Tödistrasse 63, 8810 Horgen"
"1764188452-94","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true?pn=1","CHF 3,400.– / month","88m²","4.5","Grünhaldenstrasse 28, 8052 Seebach"
"1764188452-95","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true?pn=1","CHF 4,450.– / month","117m²","4.5","Freihofstrasse 23, 8048 Zürich"
"1764188452-96","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true?pn=1","CHF 2,890.– / month","110m²","4.5","Gaswerkstrasse 9, 5610 Wohlen"
"1764188452-97","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true?pn=1","CHF 2,770.– / month","105m²","4.5","Gaswerkstrasse 9, 5610 Wohlen"
"1764188452-98","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true?pn=1","CHF 3,530.– / month","157m²","3.5","Am Mühlebach 6, 8964 Rudolfstetten-Friedlisberg"
"1764188452-99","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true?pn=1","CHF 3,140.– / month","126m²","3.5","Am Mühlebach 6, 8964 Rudolfstetten-Friedlisberg"
"1764188452-100","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true?pn=1","CHF 3,525.– / month","120m²","4.5","Tobelwiesstrasse 29, 8309 Nürensdorf"
