web_scraper_order,web_scraper_start_url,rent_raw,area_raw,address_raw,rooms_raw
"1764190540-84","https://www.homegate.ch/rent/real-estate/city-zug/matching-list?be=4000&ac=2.5&ad=5.5&ipd=true?pn=1","CHF 12,200.– / month","200m²","Oberdorfstrasse 11, 6318 Walchwil","4.5"
"1764190540-85","https://www.homegate.ch/rent/real-estate/city-zug/matching-list?be=4000&ac=2.5&ad=5.5&ipd=true?pn=1","CHF 5,100.– / month","120m²","Waldhof 6, 6300 Zug","4.5"
"1764190540-86","https://www.homegate.ch/rent/real-estate/city-zug/matching-list?be=4000&ac=2.5&ad=5.5&ipd=true?pn=1","CHF 4,015.– / month","101m²","Suurstoffi 16, 6343 Risch-Rotkreuz","2.5"
"1764190540-87","https://www.homegate.ch/rent/real-estate/city-zug/matching-list?be=4000&ac=2.5&ad=5.5&ipd=true?pn=1","CHF 1,350.– / month","75m²","Industriestrasse 17, 6300 Zug","4.5"
"1764190540-88","https://www.homegate.ch/rent/real-estate/city-zug/matching-list?be=4000&ac=2.5&ad=5.5&ipd=true?pn=1","CHF 3,795.– / month","153m²","Röhrliberg 26, 6330 Cham","5.5"
"1764190540-89","https://www.homegate.ch/rent/real-estate/city-zug/matching-list?be=4000&ac=2.5&ad=5.5&ipd=true?pn=1","CHF 2,685.– / month","94m²","Burgmatt 1, 6340 Baar","4"
"1764190540-90","https://www.homegate.ch/rent/real-estate/city-zug/matching-list?be=4000&ac=2.5&ad=5.5&ipd=true?pn=1","CHF 3,595.– / month","57m²","Baarerstrasse 57, 6300 Zug","2.5"
"1764190540-91","https://www.homegate.ch/rent/real-estate/city-zug/matching-list?be=4000&ac=2.5&ad=5.5&ipd=true?pn=1","CHF 5,600.– / month","123m²","Dersbachstrasse 325, 6333 Hünenberg See","3.5"
"1764190540-92","https://www.homegate.ch/rent/real-estate/city-zug/matching-list?be=4000&ac=2.5&ad=5.5&ipd=true?pn=1","CHF 15,500.– / month","251m²","Sonnrain 11, 6340 Baar","5.5"
"1764190540-93","https://www.homegate.ch/rent/real-estate/city-zug/matching-list?be=4000&ac=2.5&ad=5.5&ipd=true?pn=1","CHF 18,000.– / month","242m²","6300 Zug","5.5"
"1764190540-94","https://www.homegate.ch/rent/real-estate/city-zug/matching-list?be=4000&ac=2.5&ad=5.5&ipd=true?pn=1","CHF 4,150.– / month","165m²","Bachtalen 26, 6332 Hagendorn","5.5"
"1764190540-95","https://www.homegate.ch/rent/real-estate/city-zug/matching-list?be=4000&ac=2.5&ad=5.5&ipd=true?pn=1","CHF 2,230.– / month","72m²","Rainstr. 11, 6312 Steinhausen","3.5"
"1764190540-96","https://www.homegate.ch/rent/real-estate/city-zug/matching-list?be=4000&ac=2.5&ad=5.5&ipd=true?pn=1","CHF 7,700.– / month","178m²","Dersbachstrasse 321, 6333 Hünenberg See","4.5"
"1764190540-97","https://www.homegate.ch/rent/real-estate/city-zug/matching-list?be=4000&ac=2.5&ad=5.5&ipd=true?pn=1","CHF 5,500.– / month","98m²","Lorzenparkstrasse 15b, 6330 Cham","3"
"1764190540-98","https://www.homegate.ch/rent/real-estate/city-zug/matching-list?be=4000&ac=2.5&ad=5.5&ipd=true?pn=1","CHF 5,500.– / month","95m²","Lorzenparkstrasse 15b, 6330 Cham","3"
"1764190540-99","https://www.homegate.ch/rent/real-estate/city-zug/matching-list?be=4000&ac=2.5&ad=5.5&ipd=true?pn=1","CHF 4,500.– / month","","Bundesplatz 12, 6300 Zug","4"
"1764190540-100","https://www.homegate.ch/rent/real-estate/city-zug/matching-list?be=4000&ac=2.5&ad=5.5&ipd=true?pn=1","CHF 6,280.– / month","99m²","Baarerstrasse 59, 6300 Zug","3.5"
